Model parameters: 32,557,208
Starting training...
Starting training...
Epoch 1, Batch 0/164, Loss: 2.4810
Epoch 1, Batch 10/164, Loss: 2.1954
Epoch 1, Batch 20/164, Loss: 1.8334
Epoch 1, Batch 30/164, Loss: 1.5520
Epoch 1, Batch 40/164, Loss: 0.9281
Epoch 1, Batch 50/164, Loss: 1.0066
Epoch 1, Batch 60/164, Loss: 0.9661
Epoch 1, Batch 70/164, Loss: 1.0000
Epoch 1, Batch 80/164, Loss: 0.8560
Epoch 1, Batch 90/164, Loss: 0.9805
Epoch 1, Batch 100/164, Loss: 1.2067
Epoch 1, Batch 110/164, Loss: 0.8572
Epoch 1, Batch 120/164, Loss: 0.7295
Epoch 1, Batch 130/164, Loss: 0.9330
Epoch 1, Batch 140/164, Loss: 0.5864
Epoch 1, Batch 150/164, Loss: 0.6585
Epoch 1, Batch 160/164, Loss: 1.1349
Epoch 1/20 | Train Loss: 1.1906 Acc: 0.6181 | Val Loss: 0.6911 Acc: 0.7705 | LR: 0.000100 | Time: 65.4s
Epoch 2, Batch 0/164, Loss: 0.9251
Epoch 2, Batch 10/164, Loss: 0.9060
Epoch 2, Batch 20/164, Loss: 0.2269
Epoch 2, Batch 30/164, Loss: 1.3174
Epoch 2, Batch 40/164, Loss: 0.6193
Epoch 2, Batch 50/164, Loss: 0.7365
Epoch 2, Batch 60/164, Loss: 0.3482
Epoch 2, Batch 70/164, Loss: 0.5174
Epoch 2, Batch 80/164, Loss: 0.8340
Epoch 2, Batch 90/164, Loss: 0.5783
Epoch 2, Batch 100/164, Loss: 0.3061
Epoch 2, Batch 110/164, Loss: 0.9351
Epoch 2, Batch 120/164, Loss: 0.1820
Epoch 2, Batch 130/164, Loss: 0.7095
Epoch 2, Batch 140/164, Loss: 0.4931
Epoch 2, Batch 150/164, Loss: 0.5350
Epoch 2, Batch 160/164, Loss: 0.3835
